               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12109,            0.009134,                   0,            0.010736,             0.58824,             0.02323,           0.0057094,             0.12835,           0.0034076,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.11862,           0.0097878,                   0,           0.0084095,             0.62353,            0.024135,           0.0053534,             0.12536,           0.0035785,                   0,          0.00043812,          0.00043812,            0.095438
                   2,             0.11642,            0.012304,                   0,             0.02684,             0.47059,            0.023507,           0.0045418,             0.12022,           0.0038482,                   0,            0.000602,            0.000602,            0.092602
                   3,             0.11229,            0.010887,                   0,             0.02699,            0.023529,            0.025317,           0.0048961,             0.11463,           0.0041634,                   0,          0.00069163,          0.00069163,            0.089692
                   4,             0.11057,             0.01083,                   0,            0.046372,            0.035294,            0.030172,           0.0061923,             0.10926,           0.0045212,                   0,            0.000707,            0.000707,            0.086707
                   5,             0.10714,            0.012251,                   0,             0.16623,            0.070588,             0.07473,            0.015311,             0.10447,           0.0048382,                   0,          0.00064812,          0.00064812,            0.083648
                   6,             0.10453,            0.013116,                   0,             0.22027,            0.094118,             0.09148,            0.025195,             0.10153,           0.0050541,                   0,            0.000515,            0.000515,            0.080515
                   7,             0.10251,            0.012886,                   0,             0.21091,            0.094118,             0.11267,             0.03217,            0.099823,           0.0051829,                   0,          0.00030763,          0.00030763,            0.077308
                   0,             0.12109,            0.009134,                   0,            0.010736,             0.58824,             0.02323,           0.0057094,             0.12835,           0.0034076,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.11862,           0.0097878,                   0,           0.0084095,             0.62353,            0.024135,           0.0053534,             0.12536,           0.0035785,                   0,          0.00043812,          0.00043812,            0.095438
                   2,             0.11642,            0.012304,                   0,             0.02684,             0.47059,            0.023507,           0.0045418,             0.12022,           0.0038482,                   0,            0.000602,            0.000602,            0.092602
                   3,             0.11229,            0.010887,                   0,             0.02699,            0.023529,            0.025317,           0.0048961,             0.11463,           0.0041634,                   0,          0.00069163,          0.00069163,            0.089692
                   4,             0.11057,             0.01083,                   0,            0.046372,            0.035294,            0.030172,           0.0061923,             0.10926,           0.0045212,                   0,            0.000707,            0.000707,            0.086707
                   5,             0.10714,            0.012251,                   0,             0.16623,            0.070588,             0.07473,            0.015311,             0.10447,           0.0048382,                   0,          0.00064812,          0.00064812,            0.083648
                   6,             0.10453,            0.013116,                   0,             0.22027,            0.094118,             0.09148,            0.025195,             0.10153,           0.0050541,                   0,            0.000515,            0.000515,            0.080515
                   7,             0.10251,            0.012886,                   0,             0.21091,            0.094118,             0.11267,             0.03217,            0.099823,           0.0051829,                   0,          0.00030763,          0.00030763,            0.077308
                   0,             0.12109,            0.009134,                   0,            0.010736,             0.58824,             0.02323,           0.0057094,             0.12835,           0.0034076,                   0,              0.0002,              0.0002,              0.0982
                   0,             0.12109,            0.009134,                   0,            0.010736,             0.58824,             0.02323,           0.0057094,             0.12835,           0.0034076,                   0,              0.0002,              0.0002,              0.0982
                   0,             0.12109,            0.009134,                   0,            0.010736,             0.58824,             0.02323,           0.0057094,             0.12835,           0.0034076,                   0,              0.0002,              0.0002,              0.0982
                   0,             0.12109,            0.009134,                   0,            0.010736,             0.58824,             0.02323,           0.0057094,             0.12835,           0.0034076,                   0,              0.0002,              0.0002,              0.0982
